75ms
(2,3,5,6,8,),(0,1,1,0,1,) (0,1,2,3,8,),(0,1,0,1,1,) 0
(2,3,5,6,8,),(0,1,1,0,1,) (0,1,4,5,6,),(0,1,1,1,0,) 0
(2,3,5,6,8,),(0,1,1,0,1,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(2,3,5,6,8,),(0,1,1,0,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(2,3,5,6,8,),(0,1,1,0,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(2,3,5,6,8,),(0,1,1,0,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (2,3,4,6,8,),(0,1,1,0,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (0,1,5,6,7,),(0,1,1,0,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (0,1,2,3,8,),(0,1,0,1,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (0,1,4,5,6,),(0,1,1,1,0,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(0,1,2,3,5,),(0,1,0,1,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (0,1,5,6,7,),(0,1,1,0,1,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (0,1,2,3,8,),(0,1,0,1,1,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (0,1,4,5,6,),(0,1,1,1,0,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(2,3,4,6,8,),(0,1,1,0,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (0,1,2,3,8,),(0,1,0,1,1,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (0,1,4,5,6,),(0,1,1,1,0,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(0,1,5,6,7,),(0,1,1,0,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(0,1,2,3,8,),(0,1,0,1,1,) (0,1,4,5,6,),(0,1,1,1,0,) 0
(0,1,2,3,8,),(0,1,0,1,1,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(0,1,2,3,8,),(0,1,0,1,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(0,1,2,3,8,),(0,1,0,1,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(0,1,2,3,8,),(0,1,0,1,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(0,1,4,5,6,),(0,1,1,1,0,) (1,2,3,7,8,),(1,0,1,1,1,) 0
(0,1,4,5,6,),(0,1,1,1,0,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(0,1,4,5,6,),(0,1,1,1,0,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(0,1,4,5,6,),(0,1,1,1,0,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(1,2,3,7,8,),(1,0,1,1,1,) (2,3,6,8,9,),(0,1,0,1,0,) 0
(1,2,3,7,8,),(1,0,1,1,1,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(1,2,3,7,8,),(1,0,1,1,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(2,3,6,8,9,),(0,1,0,1,0,) (2,3,4,7,8,),(0,1,1,1,1,) 0
(2,3,6,8,9,),(0,1,0,1,0,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(2,3,4,7,8,),(0,1,1,1,1,) (2,3,5,7,8,),(0,1,1,1,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,3,6,7,8,),(0,0,0,1,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,2,3,6,8,),(0,1,0,0,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,2,3,4,),(0,1,1,0,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,2,3,6,),(0,1,1,0,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,6,8,9,),(0,1,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(2,3,5,7,9,),(1,0,0,1,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,2,3,6,8,),(0,1,0,0,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,2,3,4,),(0,1,1,0,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,2,3,6,),(0,1,1,0,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,6,8,9,),(0,1,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,3,6,7,8,),(0,0,0,1,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,2,3,4,),(0,1,1,0,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,2,3,6,),(0,1,1,0,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,6,8,9,),(0,1,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,2,3,6,8,),(0,1,0,0,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,2,3,6,),(0,1,1,0,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,6,8,9,),(0,1,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,1,2,3,4,),(0,1,1,0,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,1,6,8,9,),(0,1,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,1,2,3,6,),(0,1,1,0,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,1,6,7,9,),(0,1,0,1,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,1,6,8,9,),(0,1,0,0,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,1,6,7,8,),(0,1,0,1,0,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,1,6,7,9,),(0,1,0,1,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,2,6,7,9,),(0,1,0,1,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,1,6,7,8,),(0,1,0,1,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (1,2,6,7,8,),(1,1,0,1,0,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,2,6,7,9,),(0,1,0,1,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,3,4,6,8,),(1,0,0,0,0,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(1,2,6,7,8,),(1,1,0,1,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (0,2,6,8,9,),(0,1,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(2,3,4,6,8,),(1,0,0,0,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (1,2,5,6,9,),(1,1,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,2,6,8,9,),(0,1,0,0,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (2,3,5,6,8,),(1,0,0,0,0,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(1,2,5,6,9,),(1,1,0,0,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (0,3,4,6,9,),(0,0,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(2,3,5,6,8,),(1,0,0,0,0,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (0,3,6,8,9,),(0,0,0,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,3,4,6,9,),(0,0,0,0,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (2,3,4,7,8,),(1,0,0,1,0,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (2,5,6,7,9,),(1,0,0,1,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (0,1,2,3,9,),(0,1,1,0,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (2,3,5,6,9,),(1,0,0,0,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (0,1,3,4,9,),(0,1,0,0,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (2,4,6,8,9,),(1,0,0,0,1,) 0
(0,3,6,8,9,),(0,0,0,0,1,) (1,2,3,5,9,),(1,1,0,0,1,) 0
